"626063","PEND","47 | 1","05/31/2021","DBA: KITCHEN 747 & MOJOE'S CAFE                            ZEVOR GROUP, LLC                             2320 PLEASANT GROVE BLVD,                             ROSEVILLE, CA  95747","4010 FOOTHILLS BLVD, STE 103-229                              ROSEVILLE, CA  95747-7241","PER/PRM","7","ABC ESCROW 2222 DAMON ST LOS ANGELES, CA  90021-2402","23","3105"
"626063","PEND","77 | 1","05/31/2021","DBA: KITCHEN 747 & MOJOE'S CAFE                            ZEVOR GROUP, LLC                             2320 PLEASANT GROVE BLVD,                             ROSEVILLE, CA  95747","4010 FOOTHILLS BLVD, STE 103-229                              ROSEVILLE, CA  95747-7241","PER/PRM","7","ABC ESCROW 2222 DAMON ST LOS ANGELES, CA  90021-2402","23","3105"
"626064","PEND","41 | 0","","DBA: RIB LINE BBQ & GRILL                            RIB LINE BY BRIAN, LLC                             12308 LOS OSOS VALLEY RD,                             SAN LUIS OBISPO, CA  93405","PO BOX 1540                              PISMO BEACH, CA  93448-1540","ORI","","","13","4004"
"626065","PEND","23 | 0","","DBA: FOX TALE FERMENTATION PROJECT                            FOX TALE FERMENTATION PROJECT LLC                             30 E SANTA CLARA ST, STE 120,                             SAN JOSE, CA  95113-1843","56 FOX AVE                              SAN JOSE, CA  95110","ORI","","","25","4313"
"626066","PEND","47 | 0","06/30/2021","DBA: SPARE TIRE KITCHEN & TAVERN                            RED MILE LLC THE                             5368-5370 WILSHIRE BLVD,                             LOS ANGELES, CA  90036-4212","5370 WILSHIRE BLVD                              LOS ANGELES, CA  90036","EXC/PRM","","","4","1933"
"626067","PEND","17 | 0","10/31/2021","DBA: SAN FRANCISCO VINEYARD ESTATES                            SAN FRANCISCO VINEYARD ESTATES INC                             301 HARBOR DR,                             SAUSALITO, CA  94965-1415","","PRM","","","27","2109"
"626069","PEND","41 | 0","","DBA: TOOT SWEETS                            A.M. JOHNSON MANAGEMENT GROUP LLC                             4755 QUAIL LAKES DR, STE E-G,                             STOCKTON, CA  95207","","ORI","","","29","3905"
"626070","PEND","41 | 0","06/30/2021","DBA: EPERNAY BISTRO                            EPERNAY BISTRO, LLC                             29 E MAIN ST,                             LOS GATOS, CA  95030-6939","773 VISTA TULOCAY LN #217                              NAPA, CA  94559","PER","","OLD REPUBLIC TITLE 1000 BURNETT AVE CONCORD, CA  94520","25","4307"
"626072","PEND","02 | 0","","DBA: VINO HOUS LLC                            VINO HAUS LLC                             568 S MATHILDA AVE,                             SUNNYVALE, CA  94086-7607","","ORI","","","25","4316"
"626073","PEND","02 | 0","","DBA: BALCOM CANYON CIDER                             BALCOM CIDER LLC                              4464 MCGRATH ST , UNIT 110,                             VENTURA, CA  93003-7764","","ORI","","","12","5606"
"626074","PEND","41 | 0","","DBA: MY TACO HOUSE                            TRIPLE ONE TRADING, LLC                             3848 MCHENRY AVE , STE 340,                             MODESTO, CA  95356","","ORI","","","29","5002"
"626075","PEND","20 | 0","12/31/2021","DBA: ARCO AM PM 82657                            CHICO PETRO INC                             2000 BUSINESS LN,                             CHICO, CA  95928-7603","2000 BUSINESS LN                              CHICO, CA  95928-7603","PER","","FIRST AMERICAN TITLE COMPANY 415 CENTURY PARK DR STE A YUBA CITY, CA  95991","31","0402"
"626076","PEND","12 | 1","","HELFRICH WINERY DISTRIBUTION CA                             5311 INDUSTRIAL WAY,                             BENICIA, CA  94510-1026","8880 NW 20TH ST, STE A                              DORAL , FL  33172","ORI","","","22","4801"
"626076","PEND","09 | 1","","HELFRICH WINERY DISTRIBUTION CA                             5311 INDUSTRIAL WAY,                             BENICIA, CA  94510-1026","8880 NW 20TH ST, STE A                              DORAL , FL  33172","ORI","","","22","4801"
"626076","PEND","17 | 1","","HELFRICH WINERY DISTRIBUTION CA                             5311 INDUSTRIAL WAY,                             BENICIA, CA  94510-1026","8880 NW 20TH ST, STE A                              DORAL , FL  33172","ORI","","","22","4801"
"626076","PEND","18 | 1","","HELFRICH WINERY DISTRIBUTION CA                             5311 INDUSTRIAL WAY,                             BENICIA, CA  94510-1026","8880 NW 20TH ST, STE A                              DORAL , FL  33172","ORI","","","22","4801"
"626077","PEND","41 | 0","10/31/2021","DBA: SHANGHAI PLACE                            CHEUNG, ZI HUA                             25571 JERONIMO RD, STE 16,                             MISSION VIEJO, CA  92691","","DPR","","","11","3027"
"626078","PEND","41 | 0","","DBA: SUSHI SPOT                            SUSHI SPOT INC                             2120 4TH ST,                             EUREKA, CA  95501","670 9TH ST, STE 101                              ARCATA, CA  95521-6249","ORI","","","28","1203"
"626079","PEND","41 | 1","08/31/2021","DBA: BREAD AND CHEESE EATERY                            BREAD AND CHEESE CATERING INC                             1250 VALE TERRACE DRIVE,                             VISTA, CA  92084","811 SANDBAR WAY                              CARLSBAD, CA  92011","PER","","","9","3713"
"626079","PEND","58 | 1","08/31/2021","DBA: BREAD AND CHEESE EATERY                            BREAD AND CHEESE CATERING INC                             1250 VALE TERRACE DRIVE,                             VISTA, CA  92084","811 SANDBAR WAY                              CARLSBAD, CA  92011","PER","","","9","3713"
"626080","PEND","48 | 0","04/30/2021","DBA: SONA INC                            SONA INC                             1070 N 4TH ST,                             SAN JOSE, CA  95112-4941","1070 N 4TH ST                              SAN JOSE, CA  95112-4941","PER","8","BUSINESS & ESCROW SERVICE CENTER 3031 TISCH WAY 310 SAN JOSE, CA  95128","25","4313"
"626082","PEND","84 | 0","","DBA: STEEL BONNET BREWING COMPANY @ SCOTTS VALLEY CFM                            STEEL BONNET BREWING LLC                             266 MT HERMON RD S,                             SCOTTS VALLEY, CA  95066","20 VICTOR SQ, B                              SCOTTS VALLEY, CA  95066-3518","ORI","","","26","4404"
"626083","PEND","20 | 0","11/30/2021","DBA: PARKS MANAGEMENT COMPANY                            PARKS AND RECREATION MANAGEMENT                             11550 CALLE REAL, EL CAPITAN STATE BEACH,                             GOLETA, CA  93117","7840 MORRO RD , STE 100A                              ATASCADERO, CA  93422","PER","","","12","4200"
"626085","PEND","20 | 0","10/31/2021","PARKS AND RECREATION MANAGEMENT                             6000 HIGHWAY 101, GAVIOTA STATE BEACH PARK,                             GOLETA, CA  93117","7840 MORRO RD , STE 100A                              ATASCADERO, CA  93422","PER","","","12","4200"
"626086","PEND","85 | 0","","KURKURE, UDAY PUNDALIK                             14197 WILD PLUM LN,                             LOS ALTOS HILLS, CA  94022-2028","","ORI","","","25","4306"
"626087","PEND","85 | 0","","DBA: BELCREST WINES                            BELCREST WINES, LLC                             440 TALBERT ST,                             DALY CITY, CA  94014-1623","3200 HANOVER ST                              DALLAS, TX  75225","ORI","","","25","4105"
