"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code"
"624958","Active","41 | 0","04/30/2022","DBA: SQUEEZE BURGER                            E. P. DAVID REAL ESTATE LLC                             1630 K ST,                             SACRAMENTO, CA  95814-4020","5746 LONETREE BLVD                              ROCKLIN, CA  95765","PER","7","CAPITOL CITY ESCROW 3838 WATT AVE STE F610 SACRAMENTO, CA  95821","23","3405"
"624969","Active","02 | 0","08/12/2021","DBA: L. ROBERTS & REED LLC                            L. ROBERTS & REED LLC                             55 ENTERPRISE CT, STE 3 & 4,                             NAPA, CA  94558-7590","1420 3RD ST, STE 12                              NAPA, CA  94559-2859","ORI","","","27","2802"
"625245","Active","41 | 0","01/31/2022","DBA: EL RINCON AMERICANO, LLC                            EL RINCON AMERICANO, LLC                             1514 E MANNING AVE,                             REEDLEY, CA  93654-2346","","FID","8","","21","1012"
"625339","Issued-Temp.","30","09/14/2021","PANDEY, DHRUBA                             46 CALEDONIA ST,                             SAUSALITO, CA  94965-2117","3325 RHEEM AVE                              RICHMOND, CA  94804-1196","PER","","MCGOVERN ESCROW SERVICE 436 14TH ST SUITE 1015 OAKLAND, CA  94612","27","2109"
"625342","Active","21 | 0","04/30/2022","DBA: SHOPPING BAG  MARKET & LIQUOR                            HENG, SOKTHAVY                             999 E 6TH ST,                             BEAUMONT, CA  92223-2305","","PER","","ACE ESCROW INC 1725 S NOGALES ST STE 104 ROWLAND HEIGHTS, CA  91748","8","3302"
"625463","Issued-Temp.","30","09/14/2021","MATOI INC                             4212 CONVOY ST,                             SAN DIEGO, CA  92111","1725 29TH ST                              SAN DIEGO, CA  92102","PER","7","HERITAGE ESCROW 2550 5TH AVE STE 800 SAN DIEGO, CA  92103","10","3710"
"625514","Active","41 | 0","11/30/2021","DBA: SPRING THAI RESTAURANT                            SPRING THAI INC.                              8099 LA PLAZA , STE A,                             COTATI, CA  94931-4253","","PRM/FID","8","","27","4908"
"625754","Issued-Temp.","30","09/14/2021","DBA: SCHOOLHOUSE GRILL                            ADAMS, CATHERINE LIANE                             15782 CALIENTE CREEK RD,                             CALIENTE, CA  93518","","PER","","NONE","6","1500"
"625838","Active","82 | 0","04/30/2022","DBA: ANDERSON FAMILY VINEYARD                            ANDERSON FAMILY VINEYARD, LLC                             20120 NE HERRING LN,                             NEWBERG, OR  97132","","ORI","","","75","9999"
"625908","Issued-Temp.","30","09/14/2021","DBA: 3 WAY MARKET AND GAS                            RH&K GROUP CORP                             1825 E CALIFORNIA AVE,                             BAKERSFIELD, CA  93307-1900","11400 QUEENSBURY DR                              BAKERSFIELD, CA  93312-7056","PER","7","FIRST AMERICAN TITLE 1001 W TEHACHAPI BLVD B300 TEHACHAPI, CA  93561","6","1500"
"626080","Issued-Temp.","30","09/14/2021","DBA: HYDE PARK LOUNGE                            SONA INC                             1070 N 4TH ST,                             SAN JOSE, CA  95112-4941","1070 N 4TH ST                              SAN JOSE, CA  95112-4941","PER","8","BUSINESS & ESCROW SERVICE CENTER 3031 TISCH WAY 310 SAN JOSE, CA  95128","25","4313"
"626339","Issued-Temp.","30","09/14/2021","DBA: LA QUINTA MOUNTAIN DUNES                             PGAW BEVCO, LLC                             49-499 EISENHOWER DR, STE 1,                             LA QUINTA, CA  92253","5340 LBJ FREEWAY, STE 1400                              DALLAS, TX  75240","PER","","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","8","3320"
"626428","Active","82 | 0","04/30/2022","DBA: ATWATER VINEYARDS                            ATWATER VINEYARDS, LLC                             5055 NY ROUTE 414,                             BURDETT, NY  14818","","ORI","","","75","9999"
"626584","Issued-Temp.","30","09/14/2021","DBA: TOOLEY OIL COMPANY                            MICNAN LLC                             8830 E STOCKTON BLVD,                             ELK GROVE, CA  95624","","PER","7","","23","3407"
"626586","Issued-Temp.","30","09/14/2021","DBA: DC PRADO CORP                            DC PRADO CORP.                             2105 EDISON HWY, STE P9-P10,                             BAKERSFIELD, CA  93305-5516","107 DEL PLAYA DRIVE                              BAKERSFIELD, CA  93307","PER","7","CENTRAL CALIFORNIA ESCROW 9101 CAMINO MEDIA STE 200 BAKERSFIELD, CA  93311","6","1500"
"626593","Issued-Temp.","30","09/14/2021","DBA: KAENA WINE COMPANY                            KAENA WINE COMPANY                             800 E HIGHWAY 246,                             SOLVANG, CA  93463","PO BOX 645                              SOLVANG, CA  93464-0645","PER","","","13","4200"
